Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,cohen
Country,Belgium,France,False,True,-6.891838055822383,58.0,two-sided,4.452407259954001e-09,1.944e+06,-1.7794649343305728
Country,Belgium,Italy,False,True,-6.931196216410638,58.0,two-sided,3.824258168281129e-09,2.24e+06,-1.7896271676969504
Country,Belgium,Japan,False,True,-7.109216713042536,58.0,two-sided,1.9211890974168673e-09,4.256e+06,-1.8355918622795453
Country,Belgium,Netherlands,False,True,0.334060075928258,58.0,two-sided,0.7395391213958651,0.275,0.08625394071352856
Country,Belgium,Poland,False,True,1.6191541942064496,58.0,two-sided,0.11083959412720673,0.782,0.4180638152735646
Country,Belgium,Russian Federation,False,True,0.5223868865322351,58.0,two-sided,0.6033906383356509,0.294,0.13487971412109934
Country,Belgium,Spain,False,True,-1.8337343068044694,58.0,two-sided,0.0718257868111257,1.058,-0.47346816210819415
Country,Belgium,Switzerland,False,True,3.5399177923073912,58.0,two-sided,0.0007964150991799959,37.476,0.9140028437699902
Country,Belgium,United Kingdom,False,True,-0.5669552626287135,58.0,two-sided,0.5729323200589722,0.3,-0.146387219347044
Country,France,Italy,False,True,-2.1089800674908235,58.0,two-sided,0.03927472109263179,1.644,-0.5445363119250236
Country,France,Japan,False,True,-1.377910313211127,58.0,two-sided,0.17352418432951666,0.58,-0.35577491304227604
Country,France,Netherlands,False,True,19.068951021060112,58.0,two-sided,1.1638419454902702e-26,1.566e+23,4.923581982280716
Country,France,Poland,False,True,20.23402013719684,58.0,two-sided,5.809298203536575e-28,2.916e+24,5.224401534545925
Country,France,Russian Federation,False,True,11.363582954966235,58.0,two-sided,2.202426816681856e-16,1.686e+13,2.9340645025220464
Country,France,Spain,False,True,12.349167953783374,58.0,two-sided,7.089518539415244e-18,4.622e+14,3.188541454968089
Country,France,Switzerland,False,True,30.5601069332691,58.0,two-sided,1.8731674361122527e-37,5.615e+33,7.890585680724604
Country,France,United Kingdom,False,True,16.547494301331216,58.0,two-sided,1.235397098738151e-23,1.768e+20,4.2725446567011955
Country,Italy,Japan,False,True,1.2743751911782468,58.0,two-sided,0.20761284322109755,0.518,0.32904225948354954
Country,Italy,Netherlands,False,True,11.072410019715342,58.0,two-sided,6.220501581380962e-16,6.211e+12,2.8588839739158436
Country,Italy,Poland,False,True,12.434098968027696,58.0,two-sided,5.303055568841541e-18,6.117e+14,3.210470548551073
Country,Italy,Russian Federation,False,True,9.432815262578632,58.0,two-sided,2.581261936005529e-13,1.934e+10,2.4355424279878792
Country,Italy,Spain,False,True,8.102282576870572,58.0,two-sided,4.1280544756112546e-11,1.567e+08,2.092000365765749
Country,Italy,Switzerland,False,True,15.529321944821124,58.0,two-sided,2.5214207661436465e-22,9.419e+18,4.009653684679039
Country,Italy,United Kingdom,False,True,9.885631334183955,58.0,two-sided,4.745638095275917e-14,9.743e+10,2.552459034936044
Country,Japan,Netherlands,False,True,15.971005298481247,58.0,two-sided,6.712776547959778e-23,3.408e+19,4.123695836213885
Country,Japan,Poland,False,True,17.470927792753375,58.0,two-sided,8.887776912084321e-25,2.29e+21,4.5109741589417425
Country,Japan,Russian Federation,False,True,11.058651323242731,58.0,two-sided,6.534968223097465e-16,5.923e+12,2.8553314937622476
Country,Japan,Spain,False,True,10.908895478974998,58.0,two-sided,1.1194534730901074e-15,3.532e+12,2.81666470103917
Country,Japan,Switzerland,False,True,24.050770090670945,58.0,two-sided,7.393247370764441e-32,1.866e+28,6.2098821349754685
Country,Japan,United Kingdom,False,True,14.01960065733251,58.0,two-sided,2.7824316367871067e-20,9.817e+16,3.6198453244218247
Country,Netherlands,Poland,False,True,2.65867182559266,58.0,two-sided,0.010122607616626167,4.666,0.6864661135700829
Country,Netherlands,Russian Federation,False,True,0.36766603847520385,58.0,two-sided,0.714460566538299,0.278,0.09493096293203465
Country,Netherlands,Spain,False,True,-4.590638009685373,58.0,two-sided,2.4202067003921034e-05,769.477,-1.1852976373318809
Country,Netherlands,Switzerland,False,True,7.3305674210326055,58.0,two-sided,8.156235261750742e-10,9.483e+06,1.892744369327329
Country,Netherlands,United Kingdom,False,True,-1.964133047627907,58.0,two-sided,0.054312984790390484,1.295,-0.5071369722132335
Country,Poland,Russian Federation,False,True,-1.4764901162204462,58.0,two-sided,0.14522148266042925,0.652,-0.38122810873077617
Country,Poland,Spain,False,True,-6.8544521124784215,58.0,two-sided,5.144121285249782e-09,1.7e+06,-1.7698119252670117
Country,Poland,Switzerland,False,True,3.9460800332837036,58.0,two-sided,0.0002170677253694504,113.444,1.018873483447293
Country,Poland,United Kingdom,False,True,-4.476991627146521,58.0,two-sided,3.5996204987859314e-05,542.244,-1.1559542675365682
Country,Russian Federation,Spain,False,True,-3.461815092876394,58.0,two-sided,0.0010139757549035514,30.588,-0.8938368134906505
Country,Russian Federation,Switzerland,False,True,4.309172174873093,58.0,two-sided,6.420579395572098e-05,326.418,1.1126234712815921
Country,Russian Federation,United Kingdom,False,True,-1.6679871897940228,58.0,two-sided,0.10070903750631774,0.835,-0.430672440517304
Country,Spain,Switzerland,False,True,11.877177759915329,58.0,two-sided,3.619288300733814e-17,9.593e+13,3.0666741109398123
Country,Spain,United Kingdom,False,True,2.6902769678341545,58.0,two-sided,0.009309746435596443,4.986,0.6946265262071378
Country,Switzerland,United Kingdom,False,True,-9.397824382615415,58.0,two-sided,2.944591490207461e-13,1.706e+10,-2.4265078216301
